Point,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9
A0,0.0,4.0,2.83,2.0,2.83,4.47,2.0,2.0,4.47,6.0
A1,4.0,0.0,2.83,2.0,2.83,2.0,4.47,4.47,2.0,2.0
A2,2.83,2.83,0.0,2.0,4.0,2.0,2.0,4.47,4.47,4.47
A3,2.0,2.0,2.0,0.0,2.0,2.83,2.83,2.83,2.83,4.0
A4,2.83,2.83,4.0,2.0,0.0,4.47,4.47,2.0,2.0,4.47
A5,4.47,2.0,2.0,2.83,4.47,0.0,4.0,5.66,4.0,2.83
A6,2.0,4.47,2.0,2.83,4.47,4.0,0.0,4.0,5.66,6.32
A7,2.0,4.47,4.47,2.83,2.0,5.66,4.0,0.0,4.0,6.32
A8,4.47,2.0,4.47,2.83,2.0,4.0,5.66,4.0,0.0,2.83
A9,6.0,2.0,4.47,4.0,4.47,2.83,6.32,6.32,2.83,0.0
